Experiment,LibraryLayout,Platform,Run,R1,R2
vp_0095,PAIRED,ILLUMINA,,s3://mybucket23443243SRR13356117.1_1.fastq.gz,s3://mybucket23443243SRR13356117.1_2.fastq.gz
vp_0096,PAIRED,ILLUMINA,,s3://mybucket23443243SRR13356118.1_1.fastq.gz,s3://mybucket23443243SRR13356118.1_2.fastq.gz
vp_0097,PAIRED,ILLUMINA,,s3://mybucket23443243SRR13356119.1_1.fastq.gz,s3://mybucket23443243SRR13356119.1_2.fastq.gz
vp_0098,PAIRED,ILLUMINA,,s3://mybucket23443243SRR13356120.1_1.fastq.gz,s3://mybucket23443243SRR13356120.1_2.fastq.gz
vp_0099,PAIRED,ILLUMINA,,s3://mybucket23443243SRR13356121.1_1.fastq.gz,s3://mybucket23443243SRR13356121.1_2.fastq.gz
vp_0100,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14161893.1_1.fastq.gz,s3://mybucket23443243SRR14161893.1_2.fastq.gz
vp_0101,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14161894.1_1.fastq.gz,s3://mybucket23443243SRR14161894.1_2.fastq.gz
vp_0102,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14692750.1_1.fastq.gz,s3://mybucket23443243SRR14692750.1_2.fastq.gz
vp_0103,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14692751.1_1.fastq.gz,s3://mybucket23443243SRR14692751.1_2.fastq.gz
vp_0104,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14692752.1_1.fastq.gz,s3://mybucket23443243SRR14692752.1_2.fastq.gz
vp_0105,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14692753.1_1.fastq.gz,s3://mybucket23443243SRR14692753.1_2.fastq.gz
vp_0106,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14692754.1_1.fastq.gz,s3://mybucket23443243SRR14692754.1_2.fastq.gz
vp_0107,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14692755.1_1.fastq.gz,s3://mybucket23443243SRR14692755.1_2.fastq.gz
vp_0108,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14692756.1_1.fastq.gz,s3://mybucket23443243SRR14692756.1_2.fastq.gz
vp_0109,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14692757.1_1.fastq.gz,s3://mybucket23443243SRR14692757.1_2.fastq.gz
vp_0110,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14692758.1_1.fastq.gz,s3://mybucket23443243SRR14692758.1_2.fastq.gz
vp_0111,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14907361.1_1.fastq.gz,s3://mybucket23443243SRR14907361.1_2.fastq.gz
vp_0112,PAIRED,ILLUMINA,,s3://mybucket23443243SRR14907362.1_1.fastq.gz,s3://mybucket23443243SRR14907362.1_2.fastq.gz
vp_0113,PAIRED,ILLUMINA,,s3://mybucket23443243SRR15534965.1_1.fastq.gz,s3://mybucket23443243SRR15534965.1_2.fastq.gz
vp_0114,PAIRED,ILLUMINA,,s3://mybucket23443243SRR15534966.1_1.fastq.gz,s3://mybucket23443243SRR15534966.1_2.fastq.gz
vp_0115,PAIRED,ILLUMINA,,s3://mybucket23443243SRR16123289.1_1.fastq.gz,s3://mybucket23443243SRR16123289.1_2.fastq.gz
vp_0116,PAIRED,ILLUMINA,,s3://mybucket23443243SRR16123290.1_1.fastq.gz,s3://mybucket23443243SRR16123290.1_2.fastq.gz
vp_0117,PAIRED,ILLUMINA,,s3://mybucket23443243SRR16123291.1_1.fastq.gz,s3://mybucket23443243SRR16123291.1_2.fastq.gz
vp_0118,PAIRED,ILLUMINA,,s3://mybucket23443243SRR16123292.1_1.fastq.gz,s3://mybucket23443243SRR16123292.1_2.fastq.gz
vp_0119,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1806638.1_1.fastq.gz,s3://mybucket23443243SRR1806638.1_2.fastq.gz
vp_0120,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1806639.1_1.fastq.gz,s3://mybucket23443243SRR1806639.1_2.fastq.gz
vp_0121,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1806640.1_1.fastq.gz,s3://mybucket23443243SRR1806640.1_2.fastq.gz
vp_0122,PAIRED,ILLUMINA,,s3://mybucket23443243SRR1806641.1_1.fastq.gz,s3://mybucket23443243SRR1806641.1_2.fastq.gz
